                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8512,                 4.1242,                 4.3503,                0.00198,                0.33231,                0.00875,                0.00185,                 4.1822,                 4.5769,                 4.1576,             0.00011669,             0.00011669,             0.00011669
                      2,                  3.795,                 4.1672,                 4.2294,                0.00211,                0.35511,                0.01929,                0.00412,                 4.1757,                 4.5644,                 4.1522,              0.0002451,              0.0002451,              0.0002451
                      3,                 3.6881,                 3.9542,                 4.1222,                 0.0021,                 0.3502,                0.01518,                0.00355,                 4.1615,                 4.5432,                 4.1421,             0.00036823,             0.00036823,             0.00036823
                      4,                 3.6631,                 3.8075,                 4.0399,                0.00218,                 0.3567,                 0.0231,                0.00654,                 4.1256,                 4.4875,                 4.1138,             0.00048607,             0.00048607,             0.00048607
                      5,                 3.5027,                 3.8076,                 3.9476,                0.00256,                0.40387,                0.00615,                0.00141,                 4.0044,                  4.316,                 3.9778,             0.00059864,             0.00059864,             0.00059864
                      6,                  3.304,                 3.6606,                 3.8548,                0.00258,                0.49968,                0.00826,                0.00233,                 3.7238,                 4.0163,                 3.7116,             0.00070592,             0.00070592,             0.00070592
                      7,                 3.2189,                 3.4939,                 3.6286,                0.00367,                0.71537,                0.01982,                0.00417,                 3.1443,                 4.0178,                 3.7594,             0.00080793,             0.00080793,             0.00080793
                      8,                 3.1149,                  3.309,                 3.5831,                0.00249,                0.46225,                  0.009,                0.00325,                 3.3263,                 3.9678,                 4.5649,             0.00090465,             0.00090465,             0.00090465
                      9,                 2.8908,                 3.1781,                 3.4077,                0.00351,                0.67628,                0.00756,                0.00213,                 3.2856,                 3.7549,                 3.5106,             0.00099609,             0.00099609,             0.00099609
                     10,                 2.7941,                  3.048,                 3.3006,                0.00254,                0.46562,                0.00523,                0.00158,                 4.0323,                 3.8779,                 3.7795,              0.0010823,              0.0010823,              0.0010823
                     11,                 2.7746,                 2.9689,                 3.3036,                0.00366,                0.71524,                0.01274,                0.00336,                 3.2927,                 3.7079,                 3.3946,              0.0011631,              0.0011631,              0.0011631
                     12,                  2.744,                 2.8631,                  3.173,                0.00202,                0.27986,                0.00385,                0.00072,                  5.064,                 4.8651,                 4.9079,              0.0012387,              0.0012387,              0.0012387
                     13,                 2.6758,                  2.809,                 3.0926,                0.00159,                0.30265,                0.00381,                0.00101,                  4.555,                 4.5298,                 4.4781,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.6489,                 2.7233,                 3.1151,                0.11591,                0.06618,                0.03482,                0.00943,                 3.4114,                 4.3266,                 3.5979,              0.0012709,              0.0012709,              0.0012709
                     15,                  2.601,                 2.6766,                 3.0923,                0.22204,                0.52756,                0.21465,                0.06238,                 2.5036,                 10.171,                  3.152,              0.0012379,              0.0012379,              0.0012379
                     16,                 2.6184,                 2.7113,                  3.018,                0.43269,                0.38821,                0.27549,                0.09221,                 2.4269,                 5.1781,                 2.9306,              0.0012049,              0.0012049,              0.0012049
                     17,                 2.4318,                 2.5889,                 2.8745,                0.18352,                0.44888,                0.15214,                0.05235,                 2.3576,                 5.9826,                 2.8044,              0.0011719,              0.0011719,              0.0011719
                     18,                   2.35,                 2.5112,                 2.8808,                0.07734,                0.17768,                0.05335,                0.01975,                 2.4563,                 7.1648,                 3.0234,              0.0011389,              0.0011389,              0.0011389
                     19,                 2.3208,                 2.5379,                 2.8522,                0.37094,                0.51897,                0.38451,                 0.1391,                 2.3072,                  3.266,                 2.8077,              0.0011059,              0.0011059,              0.0011059
