                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2493,                 3.8119,                 4.2002,                  3e-05,                0.00062,                  2e-05,                  1e-05,                 5.2929,                 3.8562,                 4.1624,                0.00028,                0.00028,                0.00028
                      2,                 4.7125,                 3.3911,                 4.0831,                  7e-05,                0.00124,                  3e-05,                  1e-05,                 5.2928,                 3.8611,                 4.1543,             0.00056852,             0.00056852,             0.00056852
                      3,                 4.1393,                 2.6417,                 3.8356,                  7e-05,                0.00124,                  3e-05,                  1e-05,                 5.3412,                 3.9541,                 4.1769,             0.00084515,             0.00084515,             0.00084515
                      4,                 3.4168,                  2.293,                 3.5581,                 0.0001,                0.00186,                  5e-05,                  1e-05,                 5.4988,                   4.39,                 4.3431,              0.0011099,              0.0011099,              0.0011099
                      5,                 3.0754,                 2.2006,                 3.3181,                 0.0001,                0.00186,                  5e-05,                  1e-05,                 5.4914,                 4.2952,                 4.3681,              0.0013628,              0.0013628,              0.0013628
                      6,                 2.7536,                  2.055,                 3.0543,                0.00113,                0.02169,                 0.0006,                 0.0001,                 5.1639,                 3.6433,                 4.0448,              0.0016038,              0.0016038,              0.0016038
                      7,                 2.7281,                  1.867,                 2.6903,                0.17794,                0.13693,                0.06495,                0.01827,                 4.1895,                 2.9915,                 3.5931,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.6305,                 1.9147,                 2.5505,                0.31514,                0.34882,                0.23437,                0.07478,                 3.0287,                 2.1383,                 2.8971,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.5063,                 1.8434,                 2.4389,                0.29623,                0.15366,                0.15615,                0.05516,                 2.8423,                 2.4816,                 2.8489,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.3834,                 1.7028,                 2.3007,                0.39747,                0.21375,                0.24534,                0.09256,                 2.7581,                  2.262,                 2.9369,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.2851,                 1.5438,                 2.1693,                 0.4113,                 0.1225,                0.19107,                0.05081,                 3.3584,                 2.4244,                 3.0314,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.2374,                 1.4913,                 2.1658,                0.36007,                0.51673,                0.30164,                0.14104,                 2.0751,                 2.3089,                 2.3161,               0.001604,               0.001604,               0.001604
                     13,                 2.1194,                 1.4733,                  2.111,                0.57846,                0.58116,                0.54758,                0.24552,                 2.0423,                 1.6461,                 2.2374,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.0423,                 1.3943,                 2.0317,                0.74155,                0.69331,                0.74297,                0.34943,                 1.8334,                 1.3288,                 2.0774,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.0829,                  1.384,                 2.0414,                0.78503,                0.71747,                0.79084,                0.35065,                 1.9545,                   1.42,                 2.0173,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.0611,                 1.4284,                 2.0759,                 0.7728,                0.74812,                0.80991,                0.41329,                 1.6894,                 1.2785,                 1.8541,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.8549,                  1.284,                 1.8859,                0.67728,                0.73234,                0.71235,                0.31326,                 1.7771,                 1.3646,                 1.9222,               0.001406,               0.001406,               0.001406
                     18,                 1.8879,                 1.2612,                 1.8487,                0.82826,                0.78886,                0.82808,                0.41292,                 1.6697,                 1.3364,                 1.8187,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.8403,                 1.2025,                 1.8306,                0.81223,                0.82548,                0.83547,                0.36848,                 1.9387,                 1.1927,                 1.9532,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7806,                 1.1521,                 1.8081,                0.87652,                0.84015,                0.89007,                0.47331,                 1.6455,                 1.0758,                 1.7966,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7598,                 1.1149,                 1.7864,                 0.8674,                0.83896,                 0.8856,                0.48259,                 1.5847,                 1.0303,                 1.7511,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7689,                 1.1455,                 1.7173,                0.83246,                0.82507,                0.86394,                0.45726,                 1.5821,                 1.0715,                 1.7383,               0.001208,               0.001208,               0.001208
                     23,                 1.7519,                 1.0721,                 1.6979,                0.85111,                0.80979,                0.85193,                0.43274,                 1.6484,                 1.0994,                 1.7415,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.7386,                 1.1057,                 1.7402,                0.89047,                0.84696,                0.90537,                0.49972,                 1.5991,                 1.0573,                 1.7058,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.7381,                 1.0071,                 1.6359,                0.89494,                0.86803,                0.90749,                0.48863,                 1.5922,                0.97488,                 1.7068,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.6706,                 1.0812,                 1.6953,                0.88945,                 0.8544,                0.90078,                0.50848,                 1.5031,                 0.9478,                   1.66,              0.0010496,              0.0010496,              0.0010496
                     27,                    1.7,                 1.0622,                  1.692,                0.90941,                0.86121,                0.91465,                0.46562,                 1.6617,                 0.9944,                 1.7353,                0.00101,                0.00101,                0.00101
                     28,                 1.6633,                 1.0081,                 1.6234,                0.91758,                0.85874,                0.91489,                  0.522,                   1.52,                0.92288,                 1.6373,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.5754,                0.95596,                 1.5751,                0.86976,                0.84824,                0.88436,                0.50141,                 1.4723,                0.96341,                 1.6044,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.5816,                0.96422,                 1.5946,                0.89621,                 0.8513,                0.89265,                0.51943,                 1.4577,                0.94971,                 1.5818,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.6771,                0.98788,                 1.6277,                0.90806,                0.86741,                0.92047,                0.53537,                 1.4826,                0.93068,                 1.5887,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.5578,                0.96285,                  1.538,                0.91326,                0.87608,                0.92768,                0.55101,                 1.4475,                0.90817,                  1.575,               0.000812,               0.000812,               0.000812
                     33,                  1.556,                0.93239,                  1.567,                0.91491,                0.87732,                0.92774,                 0.5452,                 1.4534,                0.88656,                 1.5832,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.559,                0.94466,                 1.5963,                 0.9008,                0.88333,                0.92436,                0.54265,                 1.4501,                0.88405,                  1.569,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5864,                0.92495,                 1.5952,                0.93329,                0.89279,                0.93828,                0.56885,                 1.4283,                0.83493,                 1.5566,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5393,                 0.8817,                  1.562,                0.92576,                0.89622,                0.93803,                0.56707,                 1.4218,                0.84426,                  1.546,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5751,                0.91721,                 1.5622,                0.92066,                0.89839,                0.93705,                0.55828,                 1.4398,                0.85581,                 1.5583,               0.000614,               0.000614,               0.000614
                     38,                 1.5394,                0.89404,                 1.4993,                0.92575,                0.88662,                0.93304,                 0.5565,                 1.4357,                0.86186,                 1.5544,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5634,                  0.902,                 1.5394,                0.90076,                0.88476,                0.91673,                0.50319,                 1.5298,                0.90643,                 1.6139,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5366,                 0.8689,                 1.4672,                0.90769,                0.88971,                0.92165,                0.53581,                 1.4439,                0.86667,                 1.5498,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4757,                 1.0815,                 1.5515,                0.92621,                 0.8943,                 0.9322,                0.57034,                 1.3944,                0.83935,                 1.5069,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4826,                0.97966,                 1.5507,                0.93321,                0.89281,                0.93939,                0.57219,                 1.4027,                0.85895,                 1.5099,               0.000416,               0.000416,               0.000416
                     43,                 1.4731,                0.97059,                 1.5545,                0.91427,                0.89839,                0.93705,                0.57074,                 1.3919,                0.89763,                 1.5006,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4594,                0.95558,                  1.563,                0.92199,                0.89901,                0.93806,                 0.5654,                 1.4025,                0.89937,                 1.5044,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.4714,                0.94794,                 1.5764,                 0.9343,                0.89405,                0.93433,                0.56704,                 1.3841,                0.87331,                 1.4921,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4254,                0.89985,                 1.5232,                 0.9312,                 0.8973,                0.93263,                0.56992,                 1.3764,                0.86491,                 1.4877,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4288,                0.89851,                 1.5157,                0.92779,                0.90211,                0.93224,                0.57425,                 1.3739,                0.85433,                 1.4838,               0.000218,               0.000218,               0.000218
                     48,                 1.4717,                0.92368,                 1.6069,                0.92938,                0.90504,                0.93474,                0.57362,                 1.3809,                0.84594,                 1.4844,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4512,                0.88821,                 1.5389,                0.93091,                0.90989,                0.93766,                0.57701,                 1.3703,                0.83701,                 1.4756,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4166,                0.86806,                 1.5236,                0.93147,                0.90944,                0.93863,                0.57728,                   1.37,                0.83398,                 1.4714,               9.92e-05,               9.92e-05,               9.92e-05
